Timestamp,Frame,Event Type,Confidence,Person ID,Description
1.4,36,Abnormal Looking Down,0.75,person_000,
1.6,39,Abnormal Looking Down,0.75,person_000,
1.7,42,Abnormal Looking Down,0.75,person_000,
1.8,45,Abnormal Looking Down,0.75,person_000,
1.9,48,Abnormal Looking Down,0.75,person_000,
2.0,51,Abnormal Looking Down,0.75,person_000,
2.2,54,Abnormal Looking Down,0.75,person_000,
2.3,57,Abnormal Looking Down,0.75,person_000,
2.4,60,Abnormal Looking Down,0.75,person_000,
2.5,63,Abnormal Looking Down,0.75,person_000,
2.6,66,Abnormal Looking Down,0.75,person_000,
2.8,69,Abnormal Looking Down,0.75,person_000,
2.9,72,Abnormal Looking Down,0.75,person_000,
3.0,75,Abnormal Looking Down,0.75,person_000,
